date,time,sym,price,size
2018-07-01,09:30:00.120,GBPPLN,93.12027,99600
2018-07-01,09:30:00.278,USDGBP,1.243779,83500
2018-07-01,09:30:00.516,USDEUR,58.24376,19100
2018-07-01,09:30:00.656,GBPPLN,10.09474,9300
2018-07-01,09:30:00.796,USDEUR,43.74412,28500
2018-07-01,09:30:00.966,GBPPLN,43.88911,42900
2018-07-01,09:30:15.086,EURPLN,81.73927,46100
2018-07-01,09:30:15.119,USDPLN,86.27263,20900
2018-07-01,09:30:15.826,USDPLN,75.42797,73900
2018-07-01,09:30:30.330,USDEUR,33.90899,82400
2018-07-01,09:30:30.495,GBPPLN,14.62082,26400
2018-07-01,09:30:30.642,USDPLN,67.1249,26000
2018-07-01,09:30:30.854,USDEUR,12.62442,98700
2018-07-01,09:30:45.287,GBPPLN,18.46262,13300
2018-07-01,09:30:45.760,USDPLN,33.6234,23200
2018-07-01,09:30:45.899,USDGBP,89.96024,63600
2018-07-01,09:30:45.944,USDEUR,3.42198,2200
2018-07-01,09:31:00.035,EURPLN,41.72513,41400
2018-07-01,09:31:00.301,EURPLN,19.22468,86600
2018-07-01,09:31:00.329,USDGBP,70.78997,68100
2018-07-01,09:31:00.446,GBPPLN,48.06836,6800
2018-07-01,09:31:00.447,USDPLN,36.40804,34800
2018-07-01,09:31:00.480,USDGBP,9.269127,73000
2018-07-01,09:31:00.618,USDEUR,17.98408,46100
2018-07-01,09:31:15.013,USDPLN,41.08804,64200
2018-07-01,09:31:15.457,USDGBP,33.25115,62200
2018-07-01,09:31:15.666,USDPLN,36.03544,3400
2018-07-01,09:31:30.302,USDPLN,93.18693,21200
2018-07-01,09:31:30.514,USDGBP,60.99342,15700
2018-07-01,09:31:30.529,EURPLN,14.71192,45200
2018-07-01,09:31:30.962,USDPLN,67.57546,2500
2018-07-01,09:31:45.112,GBPPLN,61.10892,80100
2018-07-01,09:31:45.416,GBPPLN,41.98156,100
2018-07-01,09:31:45.727,GBPPLN,67.11732,35600
2018-07-01,09:31:45.749,USDEUR,69.53115,67200
2018-07-01,09:32:00.384,USDPLN,21.7719,1700
2018-07-01,09:32:15.011,EURPLN,90.36674,94000
2018-07-01,09:32:15.075,USDPLN,66.23288,65400
2018-07-01,09:32:15.407,USDPLN,17.76149,79500
2018-07-01,09:32:15.526,USDEUR,39.35406,96900
2018-07-01,09:32:15.579,USDPLN,52.74115,22100
2018-07-01,09:32:15.819,EURPLN,3.121171,20500
2018-07-01,09:32:30.205,USDEUR,42.0162,41100
2018-07-01,09:32:30.299,USDEUR,87.39656,1300
